PAN	PRI	PRD	PT	VERDE	CONVERGENCIA	PANAL	MORENA	ENCUENTRO	PAN.PRD	PRI.VERDE.PANAL	PRI.VERDE	PRI.PANAL	VERDE.PANAL	NULOS	PARTICIPACION
APOZOL	1258	131	127	0	33	104	1243	149	0	28	0	3	0	0	155	59.76%
APULCO	250	883	29	855	31	409	0	232	0	8	0	7	0	0	84	65.17%
ATOLINGA	168	596	92	268	23	0	350	0	0	32	0	4	0	0	79	65.66%
BENITO0JUÁREZ	1335	861	35	0	42	0	0	74	0	14	0	12	0	0	46	70.08%
CALERA	3195	3696	981	1190	148	88	192	2051	774	301	22	20	1	25	428	55.22%
CAÑITAS0DE0FELIPE0PESCADOR	1303	434	51	73	902	119	399	210	73	39	0	62	0	0	83	63.33%
CONCEPCIÓN0DEL0ORO	114	2574	295	109	84	119	59	2572	0	13	0	10	0	0	97	65.51%
CUAUHTÉMOC	118	1850	836	1870	423	0	73	196	176	33	0	40	0	0	146	66.68%
CHALCHIHUITES	139	2054	186	1342	22	0	83	326	0	9	21	6	8	1	101	51.17%
EL0PLATEADO0DE0JOAQUÍN0AMARO	40	508	573	0	12	0	0	4	0	24	0	21	0	0	12	72.10%
EL0SALVADOR	9	113	218	0	720	0	0	42	2	7	0	13	0	0	17	52.85%
GENERAL0ENRIQUE0ESTRADA	761	710	232	0	61	0	26	173	1050	110	0	12	0	0	63	68.97%
FRESNILLO	9244	27229	6134	2544	1621	3085	1332	20530	4491	562	194	358	28	34	2206	53.89%
TRINIDAD0GARCÍA0DE0LA0CADENA	358	775	39	67	23	0	0	346	0	26	0	6	0	0	46	60.63%
GENARO0CODINA	238	313	695	173	703	54	0	792	0	78	0	136	0	0	140	66.63%
GUADALUPE	2866	18737	3749	6859	1786	1415	894	10324	1944	229	104	214	20	25	1670	44.68%
HUANUSCO	709	900	126	0	43	0	0	381	0	72	0	34	0	0	48	59.26%
JALPA	1528	1743	220	688	157	3556	185	1613	103	57	0	25	0	0	310	52.26%
JEREZ	6173	7653	621	794	312	97	396	1726	376	182	51	24	15	60	834	56.18%
JIMÉNEZ0DEL0TEUL	112	1131	160	55	53	0	47	648	0	27	18	2	6	5	49	69.86%
JUAN0ALDAMA	91	3587	80	4329	153	0	118	617	125	6	0	143	0	0	279	61.05%
JUCHIPILA	2170	1629	403	129	61	22	45	1031	0	118	2	9	1	0	189	57.26%
LUIS0MOYA	401	1532	100	62	451	346	94	1733	646	38	36	38	0	3	141	62.32%
LORETO	390	3846	448	7645	516	62	271	3870	409	45	0	57	0	0	465	56.44%
MAZAPIL	30	4238	848	221	41	13	4466	0	0	35	0	44	0	0	174	72.99%
GENERAL0FRANCISCO0R.0MURGUÍA	113	5616	347	1139	134	0	0	3009	69	29	0	91	0	0	289	62.85%
MELCHOR0OCAMPO	24	909	1042	24	3	0	0	0	0	14	0	1	0	0	25	85.26%
MEZQUITAL0DEL0ORO	85	663	879	0	17	0	0	10	0	54	0	22	0	0	16	74.08%
MIGUEL0AUZA	642	2549	392	283	36	66	93	4202	239	93	0	23	0	0	189	59.41%
MOMAX	126	453	9	297	27	6	441	102	4	1	0	4	0	0	29	65.17%
MONTE0ESCOBEDO	1600	1335	71	1396	107	0	34	125	37	55	8	15	6	3	149	64.39%
MORELOS	104	1435	283	393	48	668	1831	1343	0	23	0	6	0	0	326	73.44%
MOYAHUA0DE0ESTRADA	669	1074	314	0	31	314	0	71	0	139	0	11	0	0	59	60.09%
NOCHISTLÁN0DE0MEJÍA	2596	3235	686	5424	164	39	0	810	199	220	0	110	0	0	429	57.44%
NORIA0DE0ÁNGELES	132	2340	917	1147	48	28	0	2291	98	82	0	28	0	0	191	65.82%
OJOCALIENTE	1040	6091	721	4529	472	827	277	857	249	96	110	115	14	3	526	54.67%
GENERAL0PÁNFILO0NATERA	205	768	1551	2707	2667	126	2042	400	120	54	0	232	0	0	513	65.79%
PÁNUCO	152	3302	129	2970	65	42	0	494	143	59	0	26	0	0	159	63.23%
PINOS	192	14330	707	742	375	224	227	13572	228	14	0	206	0	0	877	65.09%
RÍO0GRANDE	4688	6999	3536	4313	473	798	340	2514	706	520	26	66	4	21	914	53.15%
SAÍN0ALTO	663	3587	5155	186	47	18	82	591	0	224	0	23	0	0	332	67.83%
SANTA0MARÍA0DE0LA0PAZ	604	623	104	59	10	0	0	54	0	24	0	8	0	0	40	63.29%
SOMBRERETE	6561	4178	4067	3003	689	0	413	3585	552	1038	95	51	22	15	717	53.86%
SUSTICACÁN	16	336	7	25	11	0	0	424	24	0	0	2	0	0	37	70.62%
TABASCO	2631	2781	416	244	109	123	176	310	215	103	0	80	0	0	209	60.33%
TEPECHITLÁN	570	1715	1072	418	85	57	0	0	0	140	0	11	0	0	92	58.57%
TEPETONGO	213	2204	559	0	39	0	65	370	25	36	0	107	0	0	105	59.41%
TEUL0DE0GONZÁLEZ0ORTEGA	0	1566	0	56	66	0	0	889	140	0	0	17	0	0	64	64.09%
TLALTENANGO0DE0SÁNCHEZ0ROMÁN	3467	2264	391	135	1256	0	162	1163	69	172	81	81	9	15	341	57.49%
TRANCOSO	113	1007	1821	1599	101	97	478	1048	114	164	0	68	0	0	245	54.99%
VALPARAÍSO	1000	7556	5814	0	224	0	0	565	499	297	0	136	0	0	422	61.77%
VETAGRANDE	380	2050	1487	345	100	28	33	452	90	209	0	24	0	0	120	74.76%
VILLA0DE0COS	276	4998	4587	2003	428	52	0	835	290	280	0	96	0	0	478	68.04%
VILLA0GARCÍA	154	1654	100	481	221	2662	589	1591	121	11	24	11	12	4	222	63.70%
VILLA0GONZÁLEZ0ORTEGA	183	222	2059	932	172	33	1391	759	0	72	0	17	0	0	310	62.13%
VILLA0HIDALGO	112	4278	3592	73	56	54	0	729	110	67	0	27	0	0	257	71.08%
VILLANUEVA	827	5082	4887	146	395	499	1608	525	160	322	263	31	88	13	511	61.60%
ZACATECAS	6265	15208	2723	1479	1528	6094	1047	18651	1967	401	62	197	17	8	1885	57.86%
TOTAL 69403 200131 67703 65821 18625 22344 21602 111981 16637 7106 1117 3243 251 235 18940 57.15%
